abandoned fury	berserker
abandoned fury xii	berserker
abandoned fury xiii	berserker
abhorrent seal	defiler
abolishment	fury
abominate undead	necromancer
abomination	defiler
abomination xii	defiler
abomination xiii	defiler
abominus	defiler
absolute corruption	defiler
absolution	warlock
absolution xii	warlock
absorb magic	coercer,conjuror,illusionist,necromancer,warlock,wizard
abuse	bruiser
abuse xii	bruiser
abuse xiii	bruiser
accord	warlock,wizard
acid	warlock
acid storm	warlock
acid xii	warlock
acid xiii	warlock
acid xiv	warlock
act of war	inquisitor
admonishing smite	inquisitor,templar
adrenaline	berserker
aegolism	templar
aegolism xii	templar
aegolism xiii	templar
aery hunter	conjuror
aggressive defense	berserker
aggressive defense xii	berserker
aggressive defense xiii	berserker
alin's keening lamentation	dirge,troubador
alin's serene serenade	troubador
allegretto	troubador
allegretto xii	troubador
allegretto xiii	troubador
alleviation	inquisitor
alleviation xii	inquisitor
alleviation xiii	inquisitor
amazing reflexes	brigand
ambush	assassin,beastlord,brigand,dirge,ranger,swashbuckler,troubador
ambush xii	assassin
ambush xiii	assassin
ambush xiv	assassin
amends	paladin
amnesia	coercer
ancestral avatar	mystic
ancestral avenger	defiler
ancestral balm	mystic
ancestral bolster	mystic
ancestral mettle	mystic
ancestral mettle xii	mystic
ancestral savior	mystic
ancestral sentry	mystic
ancestral ward	mystic
ancestral ward xii	mystic
ancestral ward xiii	mystic
ancestral ward xiv	mystic
ancient pledge	paladin,shadowknight
ancient shroud	defiler
ancient shroud xii	defiler
ancient shroud xiii	defiler
ancient shroud xiv	defiler
ancient terror	defiler
ancient wrath	paladin
ancient wrath xii	paladin
ancient wrath xiii	paladin
aneurysm	illusionist
aneurysm xii	illusionist
aneurysm xiii	illusionist
anger	berserker,guardian
annihilate	berserker
antagonize	conjuror
antagonize xii	conjuror
antagonize xiii	conjuror
apocalypse	warlock
apply poison	assassin
aqueous soul	conjuror,necromancer
aqueous swarm	conjuror
aqueous swarm xii	conjuror
arcane augur	coercer,conjuror,illusionist,necromancer,warlock,wizard
arcane bindings	coercer,conjuror,illusionist,necromancer,warlock,wizard
arcane symphony	troubador
arcane symphony xii	troubador
arch healing	inquisitor,templar
archer's fury	ranger
archer's fury xii	ranger
archon's resolve	inquisitor
arctic blast	swashbuckler
arctic blast xii	swashbuckler
arctic talon	monk
aria of magic	troubador
aria of magic xii	troubador
armor of nature	fury
armor of nature xii	fury
armor of nature xiii	fury
armor of seasons	warden
armor of seasons xii	warden
armor of seasons xiii	warden
armored	guardian
armored xii	guardian
armored xiii	guardian
arrow rip	ranger
aspect of darkness	warlock
aspect of darkness xii	warlock
aspect of darkness xiii	warlock
aspect of genius	illusionist
aspect of genius xii	illusionist
aspect of genius xiii	illusionist
aspect of the forest	warden
aspect of the forest xii	warden
aspect of the forest xiii	warden
assail	assassin,beastlord,brigand,dirge,ranger,swashbuckler,troubador
assassinate	assassin
assault	guardian
assault xii	guardian
assault xiii	guardian
asylum	coercer
asylum xii	coercer
asylum xiii	coercer
atrophy	defiler
aura of power	coercer,illusionist
aura of void	warlock
aurora	wizard
auspice	defiler,mystic
autumn's kiss	fury
autumn's kiss xii	fury
autumn's kiss xiii	fury
avoid blame	swashbuckler
avoid blame xii	swashbuckler
awaken grave	necromancer
awestruck	templar
back into the fray	fury
back shot	assassin,ranger
backstab	brigand,swashbuckler
backstab xii	brigand
backstab xiii	brigand
backstab xiv	brigand
balanced synergy	assassin,beastlord,berserker,brigand,bruiser,channeler,coercer,conjuror,defiler,dirge,fury,guardian,illusionist,inquisitor,monk,mystic,necromancer,paladin,ranger,shadowknight,swashbuckler,templar,troubador,warden,warlock,wizard
ball lightning	fury
ball of fire	wizard
ball of fire xii	wizard
band of thugs	brigand
bane of warding	defiler
bane of warding xii	defiler
barrier of intellect	illusionist
barroom negotiation	brigand
barroom negotiation xii	brigand
barroom negotiation xiii	brigand
bash	berserker,guardian
bash xii	guardian
bash xiii	guardian
bash xiv	guardian
battery and assault	brigand
battery and assault xii	brigand
battery and assault xiii	brigand
battery and assault xiv	brigand
battle cry	guardian
battle cry xii	guardian
battle cry xiii	guardian
battle tactics	berserker,guardian
battle tactics xii	guardian
battle's reprieve	templar
battlemaster's resolve	berserker
battlerager's resolve	bruiser
beatdown	bruiser
beatdown xii	bruiser
beatdown xiii	bruiser
befuddle	brigand
befuddle xii	brigand
beg for mercy	brigand
beguiler's resolve	illusionist
beneficence	templar
berserk rage	berserker
berserk rage xii	berserker
berserk rage xiii	berserker
berserk rage xiv	berserker
berserker onslaught	berserker
berserker onslaught xii	berserker
bestowal of vitae	inquisitor,templar
bestowal of vitality	inquisitor,templar
bewilderment	illusionist
bind sight	coercer,conjuror,illusionist,necromancer,warlock,wizard
binding light	coercer,illusionist
black jack	brigand
black jack xii	brigand
blackguard	brigand
blackguard xii	brigand
blackguard's resolve	brigand
blade flurry	assassin,ranger
bladeweaver	swashbuckler
bladeweaver xii	swashbuckler
bladeweaver xiii	swashbuckler
blasphemy	shadowknight
blasphemy xii	shadowknight
blasphemy xiii	shadowknight
blaze	warlock,wizard
blaze kick	bruiser
blaze kick xii	bruiser
blaze kick xiii	bruiser
blaze of faith	templar
blazing avatar	conjuror
blazon life	templar
bleed	assassin,ranger
blessed weapon	paladin,shadowknight
blessed weapon xii	paladin
blessed weapon xiii	paladin
blessing of the paladin	paladin
blessing of the paladin xii	paladin
blighted horde	necromancer
blighted horde xii	necromancer
blink	coercer,illusionist
blood rage	berserker
bloodbath	berserker
bloodbath xii	berserker
bloodbath xiii	berserker
bloodcloud	necromancer
bloodcloud xii	necromancer
bloodcoil	necromancer
bloodcoil xii	necromancer
bloodcoil xiii	necromancer
bloodcoil xiv	necromancer
bloodletter	shadowknight
bloodlust	berserker
bloodlust xii	berserker
bloodlust xiii	berserker
bloody reminder	ranger
bloody reminder xii	ranger
bloody reminder xiii	ranger
bloody ritual	necromancer
bloody ritual xii	necromancer
bloody ritual xiii	necromancer
bloom	fury,warden
bludgeon	brigand,swashbuckler
bludgeoning earth	conjuror,necromancer
bob and weave	bruiser
bob and weave xii	bruiser
bob and weave xiii	bruiser
body check	berserker
body check xii	berserker
body check xiii	berserker
body check xiv	berserker
body like mountain	monk
body like mountain xii	monk
bodyguard	bruiser
bodyguard xii	bruiser
bodyguard xiii	bruiser
boil blood	necromancer
bolster	mystic
bolstered health	assassin,beastlord,berserker,brigand,bruiser,channeler,coercer,conjuror,defiler,dirge,fury,guardian,illusionist,inquisitor,monk,mystic,necromancer,paladin,ranger,shadowknight,swashbuckler,templar,troubador,warden,warlock,wizard
bond of ro	wizard
boon of the damned	warlock
boon of the damned xii	warlock
brainburst	illusionist
brainburst xii	illusionist
brainburst xiii	illusionist
brainburst xiv	illusionist
brainshock	coercer
brainshock xii	coercer
brainshock xiii	coercer
brainshock xiv	coercer
brambles	fury
brambles xii	fury
brambles xiii	fury
breath of spirits	defiler,mystic
breathtaking bellow	troubador
breeze	coercer,illusionist
breeze xii	coercer
bria's entrancing sonnet	troubador
bria's entrancing sonnet xii	troubador
bria's inspiring ballad	dirge,troubador
bria's inspiring ballad xii	dirge,troubador
bria's inspiring ballad xiii	dirge,troubador
bruising spirit	bruiser
bruising spirit xii	bruiser
bruising strike	bruiser,monk
brutal execution	bruiser
brutality	bruiser
brutality xii	bruiser
brutality xiii	bruiser
bulwark of order	berserker,bruiser,guardian,monk,paladin,shadowknight
bum rush	brigand
bum rush xii	brigand
bum rush xiii	brigand
burning radiance	warlock,wizard
cacophony of blades	dirge
caliginous whip	defiler
call of shielding	guardian
call of shielding xii	guardian
call of storms	fury
call of the hero	conjuror
call of the hunt	fury
call servant	coercer,conjuror,illusionist,necromancer,warlock,wizard
call to arms	berserker,bruiser,guardian,monk,paladin,shadowknight
call to arms xii	guardian
call to arms xiii	guardian
calm tranquility	monk
calm tranquility xii	monk
calm tranquility xiii	monk
caltrops	assassin
caltrops xii	assassin
caltrops xiii	assassin
cannibalize thoughts	coercer
carrion warding	defiler
carrion warding xii	defiler
carrion warding xiii	defiler
castigate	paladin
cat's eye	conjuror
cataclysm	warlock
cataclysm xii	warlock
cataclysm xiii	warlock
cataclysm xiv	warlock
cautioness	berserker,bruiser,guardian,monk,paladin,shadowknight
cease	wizard
cease xii	wizard
cease xiii	wizard
cerebral lash	coercer,illusionist
cerebral spasm	coercer,illusionist
ceremonial blade	troubador
ceremonial blade xii	troubador
ceremonial blade xiii	troubador
chains of torment	necromancer
challenge	monk
challenge xii	monk
challenge xiii	monk
champion's resolve	guardian
channel	coercer
chaos	berserker
chaos anthem	troubador
chaos xii	berserker
chaos xiii	berserker
charge	paladin,shadowknight
charging tiger	monk
charging tiger xii	monk
charging tiger xiii	monk
charm	coercer,illusionist
charm xii	coercer
charm xiii	coercer
charm xiv	coercer
