Sprok	Conjuror	Summoner
Sugah	Mystic	Shaman
Vicious	Monk/Bruiser	Brawler
Korps	Necromancer	Summoner
Biffels	Assassin	Predator
Kludian	Necromancer	Summoner
Drizzlen	Swashbuckler	Rogue
Pharout	Fury	Druid
Zill	Illusionist	Enchanter
Shuzuk	Defiler	Shaman
Bardomir	Troubador	Bard
Cheggers	Templar	Cleric
Virustotal	Shadowknight	Crusader
Protec	Paladin	Crusader
Flepead	Troubador	Bard
Cheeseot	Coercer	Enchanter
Jinxie	Coercer	Enchanter
Majoras	Dirge	Bard
Stylix	Illusionist	Enchanter
Nikon	Dirge	Bard
Iaminq	Inquisitor	Cleric
Hctub	Wizard	Sorcerer
Hibernate	Fury	Druid
Waudy	Inquisitor	Cleric
Bear	Guardian	Warrior
Cyberwarfare	Berserker	Warrior
Wormwood	Warlock	Sorcerer
Huis	Warden	Druid
Surrillian	Brigand	Rogue
Tluan	Ranger	Predator
Licent	Swashbuckler	Rogue
Cyanotic	Swashbuckler	Rogue
